iteration,elapsed_s,period_ms,gello_read_ms,send_action_ms,work_ms,cycle_ms
25,0.4195607709698379,16.743466956540942,0.07288501365110278,0.4458989715203643,0.525281997397542,16.833405999932438
26,0.4364053029567003,16.84453198686242,0.06283394759520888,0.49994600703939795,0.57075300719589,16.83616201626137
27,0.4532529200077988,16.847617051098496,0.0851819640956819,0.5109590128995478,0.6042259628884494,16.801581950858235
28,0.47006391698960215,16.810996981803328,0.0724390265531838,0.5637930007651448,0.6428270135074854,16.816203016787767
29,0.4868895189720206,16.825601982418448,0.07517897756770253,0.3989470424130559,0.48069102922454476,16.73244300764054
30,0.5036284319940023,16.738913021981716,0.059865007642656565,0.6175589514896274,0.6811039638705552,16.835617017932236
31,0.5204755419981666,16.84711000416428,0.07171800825744867,0.707025988958776,0.7869339897297323,16.835577960591763
32,0.5373222510097548,16.846709011588246,0.08594500832259655,0.6708080181851983,0.7645739824511111,16.786377993412316
33,0.5541184209869243,16.796169977169484,0.06575003499165177,0.700002012308687,0.772348023019731,16.84221700998023
34,0.5709701579762623,16.85173698933795,0.0673640170134604,0.6380889681167901,0.711996981408447,16.82593603618443
35,0.5878054219647311,16.835263988468796,0.06918300641700625,0.5535869859158993,0.6293220212683082,16.798908996861428
36,0.6046157529926859,16.810331027954817,0.06372202187776566,0.6709410226903856,0.7427380187436938,16.80507301352918
37,0.621430397965014,16.814644972328097,0.08094101212918758,0.6678180070593953,0.7553570321761072,16.826409031637013
38,0.6382662369869649,16.83583902195096,0.07065501995384693,0.5698669701814651,0.6472619716078043,16.79407001938671
39,0.6550655179889873,16.799281002022326,0.05497504025697708,0.4590339958667755,0.5174860125407577,17.040040984284133
40,0.672110007959418,17.04448997043073,0.051457027439028025,0.5301869823597372,0.5846630083397031,16.72719605267048
41,0.6888422319898382,16.732224030420184,0.050825998187065125,0.627322995569557,0.6814179942011833,16.729792987462133
42,0.7055787919671275,16.73655997728929,0.05981000140309334,0.5745940143242478,0.638274010270834,16.868428036104888
43,0.7224586579832248,16.879866016097367,0.06874802056699991,0.6634329911321402,0.7403980125673115,16.834206006024033
44,0.7393023939803243,16.84373599709943,0.07746304618194699,0.562569999601692,0.6467290222644806,16.736345016397536
45,0.7560481709660962,16.745776985771954,0.07229199400171638,0.6638760096393526,0.7424200302921236,16.73342299181968
46,0.7727865349734202,16.73836400732398,0.0519059831276536,0.6000710418447852,0.6553450366482139,16.698944033123553
47,0.7894964179722592,16.70988299883902,0.09425502503290772,0.6687240093015134,0.7707970216870308,16.798408003523946
48,0.8063044499722309,16.808031999971718,0.09532197145745158,0.5571410292759538,0.659132027067244,16.840403026435524
49,0.8231540299602784,16.84957998804748,0.0695639755576849,0.5249400273896754,0.6012170342728496,16.727823996916413
50,0.8398867979994975,16.73276803921908,0.050870003178715706,0.6686729611828923,0.7226949674077332,16.80435100570321
51,0.8567005809745751,16.81378297507763,0.07767602801322937,0.533873972017318,0.6181770004332066,16.818198026157916
52,0.8735282130073756,16.827632032800466,0.071361951995641,0.5666260258294642,0.6446089828386903,16.856305999681354
53,0.890394200978335,16.865987970959395,0.08768797852098942,0.6135110161267221,0.7078240159898996,16.81954599916935
54,0.9072242630063556,16.83006202802062,0.0751619809307158,0.5797549965791404,0.6618019542656839,16.728726972360164
55,0.9239576240070164,16.733361000660807,0.04879198968410492,0.613509037066251,0.665439001750201,16.737608006224036
56,0.9407002879888751,16.74266398185864,0.0510229729115963,0.8728150278329849,0.9271230082958937,16.77515497431159
57,0.9574848790070973,16.784591018222272,0.07762399036437273,0.6366950110532343,0.7210109615698457,16.80865796515718
58,0.9743028419907205,16.817962983623147,0.11159502901136875,0.7061929791234434,0.8244069758802652,16.80007897084579
