iteration,elapsed_s,period_ms,gello_read_ms,safety_guard_ms,guard_path,servo_j_ms,send_action_ms,work_ms,cycle_ms
28,0.46886798297055066,16.75169001100585,0.06930500967428088,0.01819198951125145,rt_fast_path,0.5924809956923127,0.6238269852474332,0.6967789959162474,16.957458981778473
29,0.48583466495620087,16.96668198565021,0.08759100455790758,0.023894011974334717,rt_fast_path,0.31314598163589835,0.353439012542367,0.44601503759622574,16.734917007852346
30,0.5025789699866436,16.744305030442774,0.08568301564082503,0.022158026695251465,rt_fast_path,0.27411000337451696,0.31187100103124976,0.40217197965830564,16.734312986955047
31,0.5193221679655835,16.74319797893986,0.08999096462503076,0.02360698999837041,rt_fast_path,0.25897298473864794,0.2987240441143513,0.3935270360670984,16.730901028495282
32,0.5360700499732047,16.74788200762123,0.12395501835271716,0.029680959414690733,rt_fast_path,0.33894903026521206,0.38695300463587046,0.5189470248296857,16.73402200685814
33,0.5528221169952303,16.752067022025585,0.12252002488821745,0.026757013984024525,rt_fast_path,0.505443022120744,0.5511880153790116,0.68240100517869,16.73458400182426
34,0.5695667329709977,16.744615975767374,0.12125098146498203,0.02332800067961216,rt_fast_path,2.59314599679783,2.63470399659127,2.760734991170466,16.75221900222823
35,0.5863295119488612,16.76277897786349,0.09480904554948211,0.025403976906090975,rt_fast_path,2.003678004257381,2.047688001766801,2.1478000562638044,16.732556046918035
36,0.6030811079544947,16.751596005633473,0.11703604832291603,0.030514958780258894,rt_fast_path,1.3162789982743561,1.3652179623022676,1.4885590062476695,16.728907998185605
37,0.619817366998177,16.736259043682367,0.07433001883327961,0.019485014490783215,rt_fast_path,0.4123230464756489,0.4502289812080562,0.528152973856777,16.854774963576347
38,0.6366837009554729,16.866333957295865,0.10258698603138328,0.02430903259664774,rt_fast_path,0.8368200506083667,0.8812290034256876,0.989845022559166,16.73876104177907
